Sistema Termodinámico Controlado
Comandos:
1/0 - Encender/Apagar foco
2/3 - Encender/Apagar ventilador
SXX.X - Establecer setpoint (ej: S25.5)
C - Activar/Desactivar control automático
HX.X - Ajustar histéresis (ej: H1.0)
Tiempo(s),Humedad(%),TempAHT(°C),TempLM35(°C),Setpoint(°C),Foco,Ventilador,Control
113.158,77.82,31.901,30.303,55.0,1,0,1
113.558,77.74,31.948,30.303,55.0,1,0,1
113.958,77.71,31.966,29.814,55.0,1,0,1
114.358,77.62,31.993,30.303,55.0,1,0,1
114.758,77.51,32.040,29.814,55.0,1,0,1
115.158,77.48,32.075,30.303,55.0,1,0,1
115.558,77.40,32.118,29.814,55.0,1,0,1
115.958,77.37,32.137,30.303,55.0,1,0,1
116.358,77.30,32.176,30.303,55.0,1,0,1
116.758,77.20,32.219,30.792,55.0,1,0,1
117.158,77.15,32.263,30.303,55.0,1,0,1
117.558,77.07,32.283,30.303,55.0,1,0,1
117.958,77.01,32.322,30.303,55.0,1,0,1
118.358,76.90,32.374,30.792,55.0,1,0,1
118.758,76.83,32.401,30.792,55.0,1,0,1
119.158,76.77,32.422,30.303,55.0,1,0,1
119.558,76.71,32.458,30.303,55.0,1,0,1
119.958,76.60,32.499,30.792,55.0,1,0,1
120.358,76.54,32.552,30.792,55.0,1,0,1
120.758,76.46,32.570,30.303,55.0,1,0,1
121.158,76.37,32.607,30.792,55.0,1,0,1
121.558,76.27,32.624,30.303,55.0,1,0,1
121.958,76.22,32.664,30.303,55.0,1,0,1
122.358,76.12,32.710,30.792,55.0,1,0,1
122.758,76.09,32.749,30.792,55.0,1,0,1
123.158,75.98,32.772,30.303,55.0,1,0,1
123.558,75.92,32.824,31.281,55.0,1,0,1
123.958,75.81,32.844,31.281,55.0,1,0,1
124.358,75.72,32.887,30.303,55.0,1,0,1
124.758,75.63,32.909,30.303,55.0,1,0,1
125.158,75.57,32.970,30.792,55.0,1,0,1
125.558,75.47,32.981,30.792,55.0,1,0,1
125.958,75.42,33.027,31.281,55.0,1,0,1
126.358,75.34,33.062,30.792,55.0,1,0,1
126.758,75.25,33.094,31.281,55.0,1,0,1
127.158,75.14,33.134,31.281,55.0,1,0,1
127.558,75.08,33.147,30.303,55.0,1,0,1
127.958,74.98,33.201,31.281,55.0,1,0,1
128.358,74.91,33.241,30.792,55.0,1,0,1
128.758,74.80,33.270,31.281,55.0,1,0,1
129.158,74.74,33.293,30.792,55.0,1,0,1
129.558,74.64,33.338,31.281,55.0,1,0,1
129.958,74.56,33.364,31.281,55.0,1,0,1
130.358,74.47,33.402,30.792,55.0,1,0,1
130.758,74.40,33.445,31.281,55.0,1,0,1
131.158,74.30,33.469,31.281,55.0,1,0,1
131.558,74.26,33.509,31.281,55.0,1,0,1
131.958,74.15,33.543,31.281,55.0,1,0,1
132.358,74.08,33.560,31.281,55.0,1,0,1
132.758,74.03,33.594,31.281,55.0,1,0,1
133.158,73.89,33.652,31.281,55.0,1,0,1
133.558,73.82,33.675,31.281,55.0,1,0,1
133.958,73.76,33.701,31.281,55.0,1,0,1
134.358,73.67,33.747,31.281,55.0,1,0,1
134.758,73.58,33.786,31.281,55.0,1,0,1
135.158,73.51,33.828,31.281,55.0,1,0,1
135.558,73.40,33.843,31.281,55.0,1,0,1
135.958,73.32,33.889,31.281,55.0,1,0,1
136.358,73.30,33.912,31.281,55.0,1,0,1
136.758,73.17,33.946,31.281,55.0,1,0,1
137.158,73.12,33.984,31.769,55.0,1,0,1
137.558,73.03,34.049,31.281,55.0,1,0,1
137.958,72.95,34.066,31.281,55.0,1,0,1
138.358,72.88,34.101,31.281,55.0,1,0,1
138.758,72.79,34.124,31.281,55.0,1,0,1
139.158,72.71,34.149,31.769,55.0,1,0,1
139.558,72.65,34.192,31.281,55.0,1,0,1
139.958,72.59,34.229,31.281,55.0,1,0,1
140.358,72.47,34.249,31.769,55.0,1,0,1
140.758,72.42,34.287,31.281,55.0,1,0,1
141.158,72.35,34.323,31.281,55.0,1,0,1
141.558,72.29,34.369,31.769,55.0,1,0,1
141.958,72.21,34.383,31.769,55.0,1,0,1
142.358,72.14,34.446,31.769,55.0,1,0,1
142.758,72.07,34.488,31.769,55.0,1,0,1
143.158,71.96,34.504,31.769,55.0,1,0,1
143.558,71.88,34.539,31.769,55.0,1,0,1
143.958,71.87,34.579,31.281,55.0,1,0,1
144.358,71.81,34.608,31.769,55.0,1,0,1
144.758,71.74,34.640,31.281,55.0,1,0,1
145.158,71.63,34.673,31.769,55.0,1,0,1
145.558,71.57,34.721,31.769,55.0,1,0,1
145.958,71.49,34.743,31.769,55.0,1,0,1
146.358,71.43,34.784,32.258,55.0,1,0,1
146.758,71.37,34.818,32.258,55.0,1,0,1
147.158,71.25,34.849,32.258,55.0,1,0,1
147.558,71.23,34.878,31.769,55.0,1,0,1
147.958,71.15,34.927,32.258,55.0,1,0,1
148.358,71.10,34.954,32.258,55.0,1,0,1
148.758,71.04,34.976,31.769,55.0,1,0,1
149.158,70.92,35.020,31.769,55.0,1,0,1
149.558,70.90,35.057,32.258,55.0,1,0,1
149.958,70.78,35.089,32.258,55.0,1,0,1
150.358,70.74,35.122,32.258,55.0,1,0,1
150.758,70.70,35.155,32.258,55.0,1,0,1
151.158,70.63,35.188,32.258,55.0,1,0,1
151.558,70.53,35.205,32.258,55.0,1,0,1
151.958,70.46,35.236,32.258,55.0,1,0,1
152.358,70.38,35.270,32.258,55.0,1,0,1
152.758,70.37,35.320,32.258,55.0,1,0,1
153.158,70.30,35.359,32.258,55.0,1,0,1
153.558,70.18,35.383,32.258,55.0,1,0,1
153.958,70.15,35.422,32.258,55.0,1,0,1
154.358,70.07,35.453,32.747,55.0,1,0,1
154.758,70.00,35.493,32.258,55.0,1,0,1
155.158,69.95,35.526,32.258,55.0,1,0,1
155.558,69.89,35.559,32.258,55.0,1,0,1
155.958,69.77,35.599,32.258,55.0,1,0,1
156.358,69.72,35.631,32.747,55.0,1,0,1
156.758,69.64,35.663,32.747,55.0,1,0,1
157.158,69.56,35.689,32.747,55.0,1,0,1
